Epoch 75, Train Loss: 1.369816, Train Acc: 0.940341, Train Avg Acc: 0.746407, Test Loss: 1.460407, Test Acc: 0.900000, Test Avg Acc: 0.745833
Epoch 76, Train Loss: 1.354154, Train Acc: 0.968750, Train Avg Acc: 0.874659, Test Loss: 1.503532, Test Acc: 0.866667, Test Avg Acc: 0.723329
Epoch 77, Train Loss: 1.344880, Train Acc: 0.957386, Train Avg Acc: 0.823091, Test Loss: 1.491896, Test Acc: 0.855556, Test Avg Acc: 0.731417
Epoch 78, Train Loss: 1.343602, Train Acc: 0.965909, Train Avg Acc: 0.766469, Test Loss: 1.453019, Test Acc: 0.911111, Test Avg Acc: 0.768182
Epoch 79, Train Loss: 1.359368, Train Acc: 0.954545, Train Avg Acc: 0.889610, Test Loss: 1.419874, Test Acc: 0.922222, Test Avg Acc: 0.786052
Epoch 80, Train Loss: 1.358671, Train Acc: 0.954545, Train Avg Acc: 0.759727, Test Loss: 1.529677, Test Acc: 0.866667, Test Avg Acc: 0.819675
Epoch 81, Train Loss: 1.340950, Train Acc: 0.968750, Train Avg Acc: 0.860276, Test Loss: 1.447518, Test Acc: 0.911111, Test Avg Acc: 0.763258
Epoch 82, Train Loss: 1.350389, Train Acc: 0.974432, Train Avg Acc: 0.853291, Test Loss: 1.434977, Test Acc: 0.933333, Test Avg Acc: 0.793627
Epoch 83, Train Loss: 1.345611, Train Acc: 0.971591, Train Avg Acc: 0.875484, Test Loss: 1.423663, Test Acc: 0.900000, Test Avg Acc: 0.685294
Epoch 84, Train Loss: 1.324319, Train Acc: 0.968750, Train Avg Acc: 0.875639, Test Loss: 1.499204, Test Acc: 0.877778, Test Avg Acc: 0.826805
Epoch 85, Train Loss: 1.337007, Train Acc: 0.968750, Train Avg Acc: 0.847787, Test Loss: 1.484676, Test Acc: 0.877778, Test Avg Acc: 0.736052
Epoch 86, Train Loss: 1.337882, Train Acc: 0.954545, Train Avg Acc: 0.810695, Test Loss: 1.511777, Test Acc: 0.855556, Test Avg Acc: 0.872415
Epoch 87, Train Loss: 1.358135, Train Acc: 0.951705, Train Avg Acc: 0.836059, Test Loss: 1.435241, Test Acc: 0.911111, Test Avg Acc: 0.768627
Epoch 88, Train Loss: 1.325290, Train Acc: 0.971591, Train Avg Acc: 0.875981, Test Loss: 1.369735, Test Acc: 0.933333, Test Avg Acc: 0.793405
Epoch 89, Train Loss: 1.315457, Train Acc: 0.963068, Train Avg Acc: 0.767472, Test Loss: 1.476520, Test Acc: 0.900000, Test Avg Acc: 0.750980
Epoch 90, Train Loss: 1.341195, Train Acc: 0.960227, Train Avg Acc: 0.865942, Test Loss: 1.428548, Test Acc: 0.922222, Test Avg Acc: 0.786275
Epoch 91, Train Loss: 1.326267, Train Acc: 0.982955, Train Avg Acc: 0.885599, Test Loss: 1.422459, Test Acc: 0.922222, Test Avg Acc: 0.786052
Epoch 92, Train Loss: 1.330123, Train Acc: 0.965909, Train Avg Acc: 0.896415, Test Loss: 1.578481, Test Acc: 0.888889, Test Avg Acc: 0.743627
Epoch 93, Train Loss: 1.345096, Train Acc: 0.960227, Train Avg Acc: 0.869351, Test Loss: 1.470472, Test Acc: 0.877778, Test Avg Acc: 0.746123
Epoch 94, Train Loss: 1.353577, Train Acc: 0.960227, Train Avg Acc: 0.840073, Test Loss: 1.457821, Test Acc: 0.911111, Test Avg Acc: 0.773552
Epoch 95, Train Loss: 1.337797, Train Acc: 0.977273, Train Avg Acc: 0.854766, Test Loss: 1.532587, Test Acc: 0.855556, Test Avg Acc: 0.721123
Epoch 96, Train Loss: 1.346799, Train Acc: 0.965909, Train Avg Acc: 0.821373, Test Loss: 1.433670, Test Acc: 0.911111, Test Avg Acc: 0.768182
Epoch 97, Train Loss: 1.338224, Train Acc: 0.971591, Train Avg Acc: 0.859165, Test Loss: 1.471979, Test Acc: 0.844444, Test Avg Acc: 0.718249
Epoch 98, Train Loss: 1.322837, Train Acc: 0.974432, Train Avg Acc: 0.905191, Test Loss: 1.536788, Test Acc: 0.855556, Test Avg Acc: 0.721123
Epoch 99, Train Loss: 1.357429, Train Acc: 0.960227, Train Avg Acc: 0.885230, Test Loss: 1.509241, Test Acc: 0.900000, Test Avg Acc: 0.756127
Epoch 100, Train Loss: 1.330764, Train Acc: 0.968750, Train Avg Acc: 0.872948, Test Loss: 1.539018, Test Acc: 0.855556, Test Avg Acc: 0.726270
Epoch 101, Train Loss: 1.376421, Train Acc: 0.946023, Train Avg Acc: 0.805711, Test Loss: 1.575696, Test Acc: 0.866667, Test Avg Acc: 0.739216
Epoch 102, Train Loss: 1.388518, Train Acc: 0.931818, Train Avg Acc: 0.896080, Test Loss: 1.573496, Test Acc: 0.877778, Test Avg Acc: 0.660294
Epoch 103, Train Loss: 1.340729, Train Acc: 0.968750, Train Avg Acc: 0.807619, Test Loss: 1.522097, Test Acc: 0.866667, Test Avg Acc: 0.809381
Epoch 104, Train Loss: 1.350057, Train Acc: 0.963068, Train Avg Acc: 0.869028, Test Loss: 1.502425, Test Acc: 0.888889, Test Avg Acc: 0.748552
Epoch 105, Train Loss: 1.338872, Train Acc: 0.960227, Train Avg Acc: 0.852454, Test Loss: 1.529429, Test Acc: 0.877778, Test Avg Acc: 0.725980
Epoch 106, Train Loss: 1.357182, Train Acc: 0.960227, Train Avg Acc: 0.915931, Test Loss: 1.567681, Test Acc: 0.844444, Test Avg Acc: 0.708623
